,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
30,p0030,CRDM,gain,1.0,0.6339285714285714,0.4142857142857143,1.0,112,0,0,0,43.87961042683895,8.0,-4.167,1.1416912369016041,1,-43.87961042683895,-77.63248422271387,93.7592208536779,97.1962185962681,0.434777711080891,0.7678571428571429,0.596461674622079,p0030/crdm/p0030_crdm_gain_model_fit.eps
31,p0031,CRDM,gain,1.0,0.6517857142857143,0.44285714285714284,1.0,112,0,0,0,44.663369106436406,8.0,-4.167,1.1214015336005678,1,-44.663369106436406,-77.63248422271387,95.32673821287281,98.763735955463,0.4246819542924184,0.8035714285714286,0.5936818538344011,p0031/crdm/p0031_crdm_gain_model_fit.eps
32,p0032,CRDM,gain,1.0,0.6160714285714286,0.38571428571428573,1.0,112,0,0,0,44.65761720789227,8.0,-4.167,1.1158177097327355,1,-44.65761720789227,-77.63248422271387,95.31523441578454,98.75223215837474,0.4247560456808588,0.7678571428571429,0.5929292974165694,p0032/crdm/p0032_crdm_gain_model_fit.eps
33,p0033,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,44.93807979724269,8.0,-4.167,1.1134784491808287,1,-44.93807979724269,-77.63248422271387,95.87615959448539,99.31315733707558,0.4211433493700486,0.7589285714285714,0.5926155817926807,p0033/crdm/p0033_crdm_gain_model_fit.eps
34,p0034,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,44.799018916987244,8.0,-4.167,1.115210511972031,1,-44.799018916987244,-77.63248422271387,95.59803783397449,99.03503557656468,0.42293462117653247,0.7589285714285714,0.5928477790767699,p0034/crdm/p0034_crdm_gain_model_fit.eps
35,p0035,CRDM,gain,1.0,0.6517857142857143,0.45714285714285713,0.9761904761904762,112,0,0,0,48.665189999181436,8.0,-4.167,1.0808606901255697,1,-48.665189999181436,-77.63248422271387,103.33037999836287,106.76737774095307,0.37313367610948,0.7321428571428571,0.5883314968677237,p0035/crdm/p0035_crdm_gain_model_fit.eps
36,p0036,CRDM,gain,1.0,0.6607142857142857,0.45714285714285713,1.0,112,0,0,0,42.893707095914,8.0,-4.167,1.1479511282679407,1,-42.893707095914,-77.63248422271387,91.787414191828,95.2244119344182,0.44747733470876006,0.7946428571428571,0.597334012522271,p0036/crdm/p0036_crdm_gain_model_fit.eps
37,p0037,CRDM,gain,1.0,0.6339285714285714,0.4142857142857143,1.0,112,0,0,0,43.24067030965149,8.0,-4.167,1.136987531807359,1,-43.24067030965149,-77.63248422271387,92.48134061930298,95.91833836189318,0.4430080301745638,0.7767857142857143,0.5958108029793823,p0037/crdm/p0037_crdm_gain_model_fit.eps
38,p0038,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,45.12752011247459,8.0,-4.167,1.1087908715850505,1,-45.12752011247459,-77.63248422271387,96.25504022494918,99.69203796753938,0.4187031296974638,0.7589285714285714,0.5919896619518812,p0038/crdm/p0038_crdm_gain_model_fit.eps
39,p0039,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,44.57442282180391,8.0,-4.167,1.1175495856362194,1,-44.57442282180391,-77.63248422271387,95.14884564360781,98.58584338619801,0.425827689682997,0.7589285714285714,0.5931621470678037,p0039/crdm/p0039_crdm_gain_model_fit.eps
40,p0040,CRDM,gain,1.0,0.6696428571428571,0.5,0.9523809523809523,112,0,0,0,49.61868315778734,8.0,-4.167,1.0675604038057773,1,-49.61868315778734,-77.63248422271387,105.23736631557468,108.67436405816487,0.3608515345787453,0.7678571428571429,0.5866278646287431,p0040/crdm/p0040_crdm_gain_model_fit.eps
