,kappa_gt,gamma_gt,kappa_bhm_sing,gamma_bhm_sing,kappa_bhm_agg,gamma_bhm_agg
89,2.718281828459045,2.0,8.0669359697,1.559127009,38.4184541214,1.5832786017
90,7.3890560989306495,0.2,3.3457907947,0.2102044368,11.5303048897,0.206309129
91,7.3890560989306495,0.4,7.9087698842,1.5647591933,36.5076210554,1.5851600893
92,7.3890560989306495,0.6000000000000001,7.9886749805,1.5660697161,37.8390025432,1.5866934895
93,7.3890560989306495,0.8,7.868887567,1.5529563688,39.0777246995,1.5857182873
94,7.3890560989306495,1.0,8.1444213389,1.5617202974,40.2213651138,1.5858085387
95,7.3890560989306495,1.2000000000000002,7.9646005518,1.5658476629,35.9850694076,1.5806122743
96,7.3890560989306495,1.4,8.0082010883,1.5672363117,41.2533498375,1.5845531713
97,7.3890560989306495,1.6,7.9893831874,1.5561089209,36.4419611172,1.5890869349
98,7.3890560989306495,1.8,8.1422353496,1.5619719982,39.4531568187,1.5866399347
99,7.3890560989306495,2.0,7.7664570932,1.553617976,36.9634079173,1.5889198674
