,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
43,p0043,CDD,1.0,0.6607142857142857,112,0,0,0,5.103047636462777,1.6178812840228638,0.04321882913337559,1,0,-5.103047636462777,-77.63248422271387,14.206095272925554,19.643093015515742,0.9342665935844197,0.9821428571428571,0.9999999999999678,p0043/cdd/p0043_cdd_gain_model_fit.eps
44,p0044,CDD,1.0,0.6964285714285714,112,0,0,0,1.8119244631531537,8.0,0.055489015431227084,1,1,-1.8119244631531537,-77.63248422271387,7.623848926306307,13.060846668896495,0.9766602282369959,0.9910714285714286,1.0,p0044/cdd/p0044_cdd_gain_model_fit.eps
45,p0045,CDD,1.0,0.6696428571428572,112,0,0,0,5.380917090081811,1.5662879863125478,0.04273604502523445,1,0,-5.380917090081811,-77.63248422271387,14.761834180163621,20.19883192275381,0.9306872999884312,0.9642857142857143,0.9999999999999123,p0045/cdd/p0045_cdd_gain_model_fit.eps
46,p0046,CDD,1.0,0.6785714285714286,112,0,0,0,4.752723219363615,1.5581329932079218,0.04953605093990146,1,0,-4.752723219363615,-77.63248422271387,13.50544643872723,18.94244418131742,0.9387791944705918,0.9821428571428571,0.9999999999999121,p0046/cdd/p0046_cdd_gain_model_fit.eps
47,p0047,CDD,1.0,0.6875,112,0,0,0,6.859986296005579,1.139296624454942,0.05101761119927273,1,0,-6.859986296005579,-77.63248422271387,17.71997259201116,23.156970334601347,0.9116351052695223,0.9642857142857143,0.9999999997218249,p0047/cdd/p0047_cdd_gain_model_fit.eps
48,p0048,CDD,1.0,0.6964285714285714,112,0,0,0,3.931945994007608,1.9150288702590959,0.05498365938182121,1,0,-3.931945994007608,-77.63248422271387,11.863891988015215,17.300889730605405,0.9493517947625179,0.9732142857142857,0.9999999999999999,p0048/cdd/p0048_cdd_gain_model_fit.eps
49,p0049,CDD,1.0,0.6875,112,0,0,0,4.7178332771385545,1.5691956170560613,0.04906375369089738,1,0,-4.7178332771385545,-77.63248422271387,13.435666554277109,18.8726642968673,0.9392286189940293,0.9732142857142857,0.9999999999999283,p0049/cdd/p0049_cdd_gain_model_fit.eps
50,p0050,CDD,1.0,0.75,112,0,0,0,33.487361308866234,0.23339609853335064,0.13653223119003094,1,0,-33.487361308866234,-77.63248422271387,70.97472261773247,76.41172036032266,0.5686424098860869,0.8660714285714286,0.9900190454190514,p0050/cdd/p0050_cdd_gain_model_fit.eps
51,p0051,CDD,1.0,0.7767857142857143,112,0,0,0,17.532921297889384,0.4121391552236021,0.13962627262741215,1,0,-17.532921297889384,-77.63248422271387,39.06584259577877,44.502840338368955,0.7741548338503437,0.9285714285714286,0.9997061705977709,p0051/cdd/p0051_cdd_gain_model_fit.eps
52,p0052,CDD,1.0,0.7946428571428572,112,0,0,0,3.8724302096590124,1.606985160880029,0.14168191878561567,1,0,-3.8724302096590124,-77.63248422271387,11.744860419318025,17.181858161908213,0.9501184298244315,0.9821428571428571,0.9999999999999831,p0052/cdd/p0052_cdd_gain_model_fit.eps
53,p0053,CDD,1.0,0.8035714285714286,112,0,0,0,1.6666882315766687,8.0,0.14904769331452536,1,1,-1.6666882315766687,-77.63248422271387,7.333376463153337,12.770374205743526,0.9785310460142531,0.9910714285714286,1.0,p0053/cdd/p0053_cdd_gain_model_fit.eps
54,p0054,CDD,1.0,0.7767857142857143,112,0,0,0,4.36127732510968,1.1669916438308057,0.11174437540006955,1,0,-4.36127732510968,-77.63248422271387,12.72255465021936,18.159552392809548,0.9438214895635962,0.9910714285714286,0.999999999892436,p0054/cdd/p0054_cdd_gain_model_fit.eps
55,p0055,CDD,1.0,0.8035714285714286,112,0,0,0,6.2220442852868825,0.9220598921782184,0.13622576017475668,1,0,-6.2220442852868825,-77.63248422271387,16.444088570573765,21.881086313163955,0.9198525675484384,0.9732142857142857,0.9999999873838494,p0055/cdd/p0055_cdd_gain_model_fit.eps
56,p0056,CDD,1.0,0.8035714285714286,112,0,0,0,3.2311240555827045,1.7245125864048594,0.13638956160534774,1,0,-3.2311240555827045,-77.63248422271387,10.462248111165408,15.899245853755598,0.958379226326016,0.9910714285714286,0.9999999999999983,p0056/cdd/p0056_cdd_gain_model_fit.eps
57,p0057,CDD,1.0,0.7946428571428572,112,0,0,0,0.06948993793923856,8.0,0.14177899028509763,1,1,-0.06948993793923856,-77.63248422271387,4.138979875878477,9.575977618468665,0.9991048858137802,1.0,1.0,p0057/cdd/p0057_cdd_gain_model_fit.eps
58,p0058,CDD,1.0,0.8035714285714286,112,0,0,0,2.476606557634252,3.2358237390745606,0.14382921444549449,1,0,-2.476606557634252,-77.63248422271387,8.953213115268504,14.390210857858692,0.9680983214381069,0.9910714285714286,1.0,p0058/cdd/p0058_cdd_gain_model_fit.eps
59,p0059,CDD,1.0,0.8035714285714286,112,0,0,0,1.6666882315766787,8.0,0.1490476931312891,1,1,-1.6666882315766787,-77.63248422271387,7.333376463153357,12.770374205743545,0.9785310460142529,0.9910714285714286,1.0,p0059/cdd/p0059_cdd_gain_model_fit.eps
60,p0060,CDD,1.0,0.8035714285714286,112,0,0,0,36.176817839860504,0.19929603878403013,0.311850521621547,1,0,-36.176817839860504,-77.63248422271387,76.35363567972101,81.7906334223112,0.5339989670293739,0.8660714285714286,0.978811806190466,p0060/cdd/p0060_cdd_gain_model_fit.eps
61,p0061,CDD,1.0,0.875,112,0,0,0,15.173295067398557,0.3881615931051581,0.3863054762721537,1,0,-15.173295067398557,-77.63248422271387,34.34659013479711,39.783587877387305,0.8045496647528494,0.9553571428571429,0.9995264894623298,p0061/cdd/p0061_cdd_gain_model_fit.eps
62,p0062,CDD,1.0,0.9107142857142857,112,0,0,0,0.01118593744391696,8.0,0.484007820316983,1,1,-0.01118593744391696,-77.63248422271387,4.022371874887834,9.459369617478023,0.999855911638589,1.0,1.0,p0062/cdd/p0062_cdd_gain_model_fit.eps
63,p0063,CDD,1.0,0.8660714285714286,112,0,0,0,8.989721843443208,0.5726559575746427,0.31903465846525536,1,0,-8.989721843443208,-77.63248422271387,21.979443686886416,27.416441429476606,0.8842015435490472,0.9642857142857143,0.9999885883459583,p0063/cdd/p0063_cdd_gain_model_fit.eps
64,p0064,CDD,1.0,0.9107142857142857,112,0,0,0,0.011185937443916964,8.0,0.48400782000749515,1,1,-0.011185937443916964,-77.63248422271387,4.022371874887834,9.459369617478023,0.999855911638589,1.0,1.0,p0064/cdd/p0064_cdd_gain_model_fit.eps
65,p0065,CDD,1.0,0.8928571428571429,112,0,0,0,0.007332521785050622,8.0,0.3391211640736389,1,1,-0.007332521785050622,-77.63248422271387,4.014665043570101,9.45166278616029,0.999905548278424,1.0,1.0,p0065/cdd/p0065_cdd_gain_model_fit.eps
66,p0066,CDD,1.0,0.9017857142857143,112,0,0,0,0.00488617110215747,8.0,0.40189592862123985,1,1,-0.00488617110215747,-77.63248422271388,4.0097723422043146,9.446770084794503,0.9999370602248391,1.0,1.0,p0066/cdd/p0066_cdd_gain_model_fit.eps
