,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
21,p0021,CDD,1.0,0.2410714285714286,112,0,0,0,15.500562037654348,0.503117629780935,0.0022,1,1,-15.500562037654348,-77.63248422271387,35.001124075308695,40.43812181789888,0.8003340715828959,0.9464285714285714,0.9994686491113811,p0021/cdd/p0021_cdd_gain_model_fit.eps
22,p0022,CDD,1.0,0.2232142857142857,112,0,0,0,12.307843520853911,0.6413874332885637,0.0022,1,1,-12.307843520853911,-77.63248422271387,28.615687041707822,34.05268478429801,0.8414601356109527,0.9642857142857143,0.9999330583699443,p0022/cdd/p0022_cdd_gain_model_fit.eps
23,p0023,CDD,1.0,0.2321428571428571,112,0,0,0,12.538855981945117,0.629306029439876,0.0022,1,1,-12.538855981945117,-77.63248422271387,29.077711963890234,34.514709706480424,0.8384844165752399,0.9732142857142857,0.9999197733517435,p0023/cdd/p0023_cdd_gain_model_fit.eps
24,p0024,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676814,0.5159067648685496,0.0022,1,1,-15.145989862676814,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121576,0.9553571428571429,0.9995612799614324,p0024/cdd/p0024_cdd_gain_model_fit.eps
25,p0025,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676815,0.5159067599876395,0.0022,1,1,-15.145989862676815,-77.63248422271387,34.29197972535363,39.72897746794382,0.8049013887121576,0.9553571428571429,0.9995612799293568,p0025/cdd/p0025_cdd_gain_model_fit.eps
26,p0026,CDD,1.0,0.2321428571428571,112,0,0,0,9.353558368225437,0.8425267696397138,0.0022,1,1,-9.353558368225437,-77.63248422271387,22.707116736450875,28.144114479041065,0.8795148904240687,0.9732142857142857,0.999996713982611,p0026/cdd/p0026_cdd_gain_model_fit.eps
27,p0027,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676815,0.5159067718349607,0.0022,1,1,-15.145989862676815,-77.63248422271387,34.29197972535363,39.72897746794382,0.8049013887121576,0.9553571428571429,0.9995612800072131,p0027/cdd/p0027_cdd_gain_model_fit.eps
28,p0028,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676815,0.5159067664194638,0.0022,1,1,-15.145989862676815,-77.63248422271387,34.29197972535363,39.72897746794382,0.8049013887121576,0.9553571428571429,0.9995612799716245,p0028/cdd/p0028_cdd_gain_model_fit.eps
29,p0029,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676815,0.5159067568873267,0.0022,1,1,-15.145989862676815,-77.63248422271387,34.29197972535363,39.72897746794382,0.8049013887121576,0.9553571428571429,0.9995612799089828,p0029/cdd/p0029_cdd_gain_model_fit.eps
30,p0030,CDD,1.0,0.2589285714285714,112,0,0,0,4.969066600155873,1.603592366484854,0.0022,1,1,-4.969066600155873,-77.63248422271387,13.938133200311746,19.375130942901933,0.9359924308759655,0.9821428571428571,0.9999999999633977,p0030/cdd/p0030_cdd_gain_model_fit.eps
